PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED
"134482","2021-10-23","15:37:09","0.946318","313","0",\N
"114456","2021-10-14","10:02:03","0.994855","277","0",\N
"53806","2021-09-19","16:37:17","0.990722","1152","0",\N
"38673","2021-09-01","10:40:33","0.995802","1034","0",\N
"120471","2021-10-14","15:38:55","0.958744","1635","0",\N
"24387","2021-08-26","11:48:24","0.917159","2663","0",\N
"34309","2021-08-30","09:05:15","0.938573","798","0",\N
"30255","2021-08-29","15:06:55","0.986206","899","0",\N
"93958","2021-10-05","15:41:04","0.92961","1514","0",\N
"64765","2021-09-21","11:00:55","0.92668","1341","0",\N
"40704","2021-09-01","12:25:42","0.99641","1836","0",\N
"85151","2021-10-01","17:39:04","0.959407","14","0",\N
"110397","2021-10-13","11:06:50","0.986673","346","0",\N
"78933","2021-09-23","08:19:20","0.977912","223","0",\N
"82466","2021-09-26","17:48:02","0.99615","653","0",\N
"101887","2021-10-06","14:45:06","0.982352","2128","0",\N
"115235","2021-10-14","11:45:16","0.916619","564","0",\N
"107167","2021-10-11","17:10:53","0.935756","1265","0",\N
"142994","2021-10-25","11:05:23","0.993792","2743","0",\N
"115794","2021-10-14","12:04:49","0.992902","584","0",\N
"112281","2021-10-13","16:40:34","0.959854","113","0",\N
"39928","2021-09-01","11:22:08","0.950704","1343","0",\N
"57129","2021-09-21","08:22:49","0.976395","114","0",\N
"127136","2021-10-15","17:17:41","0.959184","1084","0",\N
"72680","2021-09-21","14:41:22","0.918151","3497","0",\N
"38676","2021-09-01","10:40:34","0.93543","1051","0",\N
"52467","2021-09-19","14:54:54","0.913344","377","0",\N
"117196","2021-10-14","12:31:26","0.987195","817","0",\N
"100301","2021-10-06","12:00:16","0.962577","1558","0",\N
"146524","2021-10-25","16:28:03","0.989643","5036","0",\N
"49884","2021-09-18","16:24:05","0.907951","599","0",\N
"35085","2021-08-30","16:29:16","0.977006","143","0",\N
"3643","2021-08-24","08:07:40","0.948626","3","0",\N
"32384","2021-08-30","07:35:35","0.912445","70","0",\N
"45755","2021-09-10","10:31:08","0.903232","535","0",\N
"338","2021-08-23","18:10:30","0.95976","91","0",\N
"77875","2021-09-22","16:57:01","0.99203","91","0",\N
"5052","2021-08-24","08:27:21","0.996891","192","0",\N
"53262","2021-09-19","16:04:25","0.90788","934","0",\N
"3435","2021-08-24","08:04:16","0.981309","2","0",\N
"126042","2021-10-15","15:54:14","0.913212","924","0",\N
"125381","2021-10-15","15:30:59","0.938074","738","0",\N
"152362","2021-11-02","15:45:09","0.973539","1284","0",\N
"72264","2021-09-21","14:25:03","0.953839","3387","0",\N
"80643","2021-09-23","09:53:33","0.964777","1006","0",\N
"103040","2021-10-06","16:07:02","0.972673","2456","0",\N
"131116","2021-10-22","11:15:14","0.902889","290","0",\N
"63122","2021-09-21","10:24:55","0.991849","984","0",\N
"156886","2021-12-05","14:36:48","0.91679","1084","0",\N
"70594","2021-09-21","13:48:19","0.9012","2877","0",\N
"2229","2021-08-24","07:42:10","0.905524","101","0",\N
"47612","2021-09-11","16:06:34","0.991421","398","0",\N
"79700","2021-09-23","08:38:09","0.982851","368","0",\N
