PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED,SPECIES
"30720","2021-08-29","16:24:07","0.978743","1193","1","Mourning Dove"
"27323","2021-08-29","13:09:34","0.998207","522","1","House Sparrow (female)"
"23648","2021-08-26","10:21:40","0.980979","1688","1","American Crow"
"23484","2021-08-26","10:19:30","0.996351","1688","1","American Crow"
"30401","2021-08-29","16:17:47","0.97688","1071","1","American Crow"
"14841","2021-08-24","17:58:19","0.956664","313","1","House Sparrow (female)"
"1269","2021-08-23","18:38:34","0.974101","527","1","Ruby-throated Hummingbird"
"12698","2021-08-24","10:19:50","0.95656","1700","1","House Sparrow (male)"
"13989","2021-08-24","11:10:43","0.940794","2104","1","House Sparrow (female)"
"9702","2021-08-24","09:29:01","0.961315","1194","1","House Sparrow (female)"
"33777","2021-08-30","08:36:57","0.923299","467","1","Ruby-throated Hummingbird"
"17662","2021-08-26","07:55:50","0.910475","111","1","Mourning Dove"
"14793","2021-08-24","17:57:54","0.992485","295","1","Ruby-throated Hummingbird"
"34275","2021-08-30","08:51:02","0.921967","641","1","Mourning Dove"
"3441","2021-08-24","08:04:23","0.972201","1","1","Mourning Dove"
"14615","2021-08-24","17:49:29","0.985732","198","1","House Sparrow (female)"
"10541","2021-08-24","09:38:48","0.949181","1236","1","Ruby-throated Hummingbird"
"23548","2021-08-26","10:20:33","0.971498","1685","1","House Sparrow (female)"
"30092","2021-08-29","15:01:54","0.980141","881","1","Mourning Dove"
"7899","2021-08-24","09:08:53","0.971236","937","1","Ruby-throated Hummingbird"
"21262","2021-08-26","09:04:48","0.981043","996","1","House Sparrow (male)"
"13711","2021-08-24","10:31:37","0.905269","1667","1","Ruby-throated Hummingbird"
"26918","2021-08-29","12:47:34","0.928087","351","1","Ruby-throated Hummingbird"
"18975","2021-08-26","08:21:08","0.972856","381","1","House Sparrow (female)"
"3214","2021-08-24","07:52:40","0.972957","298","1","Mourning Dove"
"5051","2021-08-24","08:27:21","0.971485","192","1","House Sparrow (female)"
"24478","2021-08-26","13:00:41","0.959004","3493","1","American Crow"
