PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED,SPECIES
"13634","2021-08-24","10:29:59","0.93589","1870","1","White-breasted Nuthatch"
"4716","2021-08-24","08:23:26","0.911123","205","1","House Sparrow (female)"
"5948","2021-08-24","08:39:09","0.967398","436","1","Eastern Bluebird"
"16077","2021-08-25","17:05:34","0.900918","2","1","Ruby-throated Hummingbird"
"27051","2021-08-29","13:01:29","0.921338","463","1","Ruby-throated Hummingbird"
"12566","2021-08-24","10:18:16","0.989282","1667","1","Ruby-throated Hummingbird"
"21047","2021-08-26","08:59:55","0.915285","888","1","Eastern Bluebird"
"18839","2021-08-26","08:18:30","0.96347","133","1","House Sparrow (female)"
"35360","2021-08-30","16:34:09","0.915524","237","1","House Sparrow (female)"
"30489","2021-08-29","16:19:49","0.936946","1068","1","House Sparrow (female)"
"4358","2021-08-24","08:17:22","0.980715","90","1","White-breasted Nuthatch"
"37308","2021-09-01","10:04:13","0.998875","658","1","Mourning Dove"
"11246","2021-08-24","09:57:18","0.950607","1420","1","Eastern Bluebird"
"11519","2021-08-24","10:00:18","0.942091","1408","1","Ruby-throated Hummingbird"
"23021","2021-08-26","10:00:04","0.955038","1444","1","Mourning Dove"
"28137","2021-08-29","13:27:52","0.995125","631","1","House Finch (female)"
"38037","2021-09-01","10:30:46","0.953184","930","1","White-breasted Nuthatch"
"9738","2021-08-24","09:29:18","0.991","1185","1","Ruby-throated Hummingbird"
"6991","2021-08-24","08:58:34","0.974444","642","1","Ruby-throated Hummingbird"
"10709","2021-08-24","09:41:51","0.970839","1248","1","House Sparrow (female)"
"6204","2021-08-24","08:49:59","0.966453","633","1","Mourning Dove"
"35508","2021-08-30","16:35:54","0.943423","239","1","Mourning Dove"
"5812","2021-08-24","08:38:02","0.913824","436","1","House Sparrow (male)"
"6699","2021-08-24","08:55:23","0.997836","658","1","Ruby-throated Hummingbird"
"19945","2021-08-26","08:41:04","0.969667","595","1","White-breasted Nuthatch"
"22761","2021-08-26","09:56:08","0.958238","1410","1","House Sparrow (female)"
"6569","2021-08-24","08:54:06","0.906947","653","1","Mourning Dove"
"17073","2021-08-25","18:28:57","0.958639","398","1","House Sparrow (female)"
"10019","2021-08-24","09:31:03","0.901756","1202","1","Ruby-throated Hummingbird"
"30765","2021-08-29","16:24:43","0.949599","1232","1","Mourning Dove"
"14090","2021-08-24","11:12:58","0.994621","2095","1","Eastern Bluebird"
"10155","2021-08-24","09:32:48","0.974244","1194","1","White-breasted Nuthatch"
"25422","2021-08-28","18:29:01","0.942548","136","1","House Sparrow (female)"
"35790","2021-08-30","16:38:44","0.966904","366","1","Mourning Dove"
"32909","2021-08-30","07:46:13","0.971184","126","1","House Sparrow (female)"
"11791","2021-08-24","10:03:49","0.939498","1478","1","Eastern Bluebird"
"23954","2021-08-26","10:31:26","0.927209","1889","1","House Sparrow (female)"
"25607","2021-08-28","18:46:44","0.900647","5","1","Red-winged Blackbird (male)"
"17705","2021-08-26","07:56:35","0.964179","107","1","Chipping Sparrow"
"36441","2021-08-30","17:24:33","0.951963","597","1","House Sparrow (female)"
"36307","2021-08-30","17:22:47","0.963726","603","1","House Sparrow (female)"
"32407","2021-08-30","07:35:52","0.990691","64","1","American Crow"
"31493","2021-08-29","17:38:01","0.936187","1839","1","Mourning Dove"
"7227","2021-08-24","09:02:27","0.927536","786","1","House Sparrow (male)"
"37626","2021-09-01","10:12:46","0.962735","822","1","Mourning Dove"
"19316","2021-08-26","08:26:14","0.931309","451","1","Ruby-throated Hummingbird"
"18214","2021-08-26","08:05:56","0.98541","232","1","House Wren"
"33654","2021-08-30","08:26:28","0.901323","358","1","Mourning Dove"
"12646","2021-08-24","10:19:17","0.968753","1661","1","Ruby-throated Hummingbird"
"18971","2021-08-26","08:21:06","0.946742","381","1","House Sparrow (female)"
"1048","2021-08-23","18:34:11","0.963022","443","1","Mourning Dove"
"34922","2021-08-30","16:27:12","0.970175","81","1","Brown-headed Cowbird (female or juvenile)"
"24080","2021-08-26","10:40:29","0.943674","1922","1","Ruby-throated Hummingbird"
"10742","2021-08-24","09:42:22","0.98397","1263","1","Ruby-throated Hummingbird"
"2408","2021-08-24","07:43:28","0.931318","108","1","Eastern Bluebird"
"7210","2021-08-24","09:01:59","0.987488","781","1","House Sparrow (male)"
"16941","2021-08-25","18:18:22","0.912743","373","1","House Sparrow (female)"
"9291","2021-08-24","09:22:30","0.992443","781","1","Ruby-throated Hummingbird"
"12094","2021-08-24","10:07:32","0.997183","1461","1","House Sparrow (female)"
"36730","2021-09-01","09:12:00","0.971692","105","1","House Sparrow (female)"
"8470","2021-08-24","09:15:01","0.930904","1019","1","Mourning Dove"
"5792","2021-08-24","08:37:56","0.9917","428","1","Eastern Bluebird"
"28597","2021-08-29","13:48:24","0.992145","699","1","American Crow"
"1106","2021-08-23","18:34:49","0.994731","455","1","House Sparrow (female)"
"21541","2021-08-26","09:12:06","0.970714","1029","1","House Sparrow (female)"
"19623","2021-08-26","08:36:33","0.931498","550","1","Ruby-throated Hummingbird"
"18856","2021-08-26","08:18:41","0.958345","330","1","Eastern Bluebird"
"12049","2021-08-24","10:07:12","0.960135","1461","1","White-breasted Nuthatch"
"26079","2021-08-29","11:44:25","0.978009","53","1","Mourning Dove"
"21238","2021-08-26","09:04:31","0.941857","1025","1","House Sparrow (male)"
"37128","2021-09-01","10:01:52","0.986489","571","1","White-breasted Nuthatch"
"35725","2021-08-30","16:37:54","0.956308","305","1","House Sparrow (female)"
"26631","2021-08-29","12:19:37","0.993173","193","1","House Sparrow (female)"
"35620","2021-08-30","16:36:55","0.970691","239","1","Mourning Dove"
"33856","2021-08-30","08:39:24","0.909242","486","1","House Sparrow (female)"
"1360","2021-08-23","18:40:47","0.960186","578","1","House Sparrow (female)"
"10621","2021-08-24","09:39:45","0.950208","1236","1","Ruby-throated Hummingbird"
"26841","2021-08-29","12:24:34","0.962901","260","1","White-breasted Nuthatch"
"17240","2021-08-25","19:05:03","0.95705","21","1","Mourning Dove"
"17150","2021-08-25","18:36:01","0.97126","394","1","House Sparrow (female)"
"29828","2021-08-29","14:57:22","0.987571","855","1","House Sparrow (female)"
"1145","2021-08-23","18:35:34","0.973468","432","1","Mourning Dove"
"37622","2021-09-01","10:12:35","0.904609","864","1","House Sparrow (female)"
"24003","2021-08-26","10:38:36","0.980629","1922","1","House Sparrow (female)"
"27245","2021-08-29","13:08:59","0.995213","522","1","House Sparrow (female)"
"27358","2021-08-29","13:09:49","0.942592","529","1","House Sparrow (female)"
"3638","2021-08-24","08:07:38","0.989074","1","1","House Sparrow (female)"
"37067","2021-09-01","10:00:58","0.995188","658","1","Mourning Dove"
"8598","2021-08-24","09:16:04","0.952366","1013","1","House Sparrow (male)"
"8294","2021-08-24","09:12:56","0.900471","781","1","House Sparrow (female)"
"2048","2021-08-23","19:16:34","0.93423","797","1","Mourning Dove"
"27726","2021-08-29","13:18:25","0.924845","594","1","Ruby-throated Hummingbird"
"11659","2021-08-24","10:01:59","0.932891","1408","1","Song Sparrow"
"13701","2021-08-24","10:31:30","0.96427","1667","1","Ruby-throated Hummingbird"
"35058","2021-08-30","16:29:03","0.973919","116","1","Mourning Dove"
"32471","2021-08-30","07:36:49","0.982997","70","1","Mourning Dove"
"14015","2021-08-24","11:11:11","0.98486","2102","1","House Sparrow (female)"
"15306","2021-08-24","18:04:42","0.972027","329","1","House Sparrow (male)"
"1257","2021-08-23","18:38:13","0.923771","527","1","Ruby-throated Hummingbird"
"19047","2021-08-26","08:22:01","0.91454","330","1","House Sparrow (female)"
"24367","2021-08-26","11:47:27","0.903832","2651","1","House Sparrow (female)"
"17380","2021-08-26","07:50:35","0.994533","3","1","House Sparrow (female)"
"7282","2021-08-24","09:03:17","0.919067","786","1","House Sparrow (female)"
"18732","2021-08-26","08:17:18","0.937226","133","1","Ruby-throated Hummingbird"
"14687","2021-08-24","17:56:38","0.964797","299","1","Eastern Bluebird"
"16552","2021-08-25","17:59:47","0.977155","287","1","American Crow"
"26304","2021-08-29","12:08:56","0.987185","119","1","Mourning Dove"
"13086","2021-08-24","10:23:37","0.984867","1764","1","Dark-eyed Junco"
"30634","2021-08-29","16:22:55","0.944607","1202","1","House Sparrow (female)"
"8873","2021-08-24","09:18:14","0.982304","1060","1","House Sparrow (female)"
"11230","2021-08-24","09:57:05","0.980177","1418","1","American Crow"
"36137","2021-08-30","17:20:56","0.995875","590","1","House Sparrow (female)"
"5046","2021-08-24","08:27:18","0.988914","236","1","Mourning Dove"
"28694","2021-08-29","14:03:49","0.952885","744","1","Mourning Dove"
"37928","2021-09-01","10:30:03","0.941801","935","1","House Sparrow (female)"
"19594","2021-08-26","08:36:12","0.981461","550","1","Ruby-throated Hummingbird"
"31439","2021-08-29","17:37:25","0.905932","1829","1","House Sparrow (female)"
"29215","2021-08-29","14:38:13","0.947576","815","1","Mourning Dove"
"10613","2021-08-24","09:39:37","0.946109","1236","1","Mourning Dove"
"17540","2021-08-26","07:52:21","0.953967","34","1","House Finch (female)"
"21756","2021-08-26","09:18:05","0.989637","1099","1","House Sparrow (male)"
"17004","2021-08-25","18:27:37","0.930876","394","1","White-breasted Nuthatch"
"23979","2021-08-26","10:37:43","0.932905","1909","1","House Sparrow (male)"
"22653","2021-08-26","09:54:29","0.90241","1410","1","House Sparrow (male)"
"31379","2021-08-29","17:35:56","0.970684","1813","1","House Sparrow (female)"
"22065","2021-08-26","09:24:07","0.962167","1099","1","Dark-eyed Junco"
"4248","2021-08-24","08:15:52","0.977261","90","1","House Sparrow (male)"
"9983","2021-08-24","09:30:50","0.992989","1202","1","Ruby-throated Hummingbird"
"8661","2021-08-24","09:16:42","0.925825","781","1","Mourning Dove"
"25475","2021-08-28","18:30:09","0.933223","135","1","White-breasted Nuthatch"
"22982","2021-08-26","09:59:12","0.962989","1444","1","Mourning Dove"
"17990","2021-08-26","08:02:01","0.933004","133","1","House Sparrow (female)"
"24574","2021-08-28","16:03:13","0.920632","294","1","House Sparrow (male)"
"1961","2021-08-23","18:54:51","0.982118","730","1","White-breasted Nuthatch"
"33400","2021-08-30","08:23:09","0.933484","327","1","Mourning Dove"
"9021","2021-08-24","09:19:37","0.994998","1019","1","Red-winged Blackbird (female)"
"35530","2021-08-30","16:36:04","0.989287","202","1","Mourning Dove"
"3450","2021-08-24","08:04:30","0.982516","2","1","American Crow"
"22857","2021-08-26","09:57:09","0.961525","1410","1","House Sparrow (female)"
"20532","2021-08-26","08:48:27","0.992912","595","1","Mourning Dove"
"4047","2021-08-24","08:12:00","0.900886","47","1","Mourning Dove"
"13057","2021-08-24","10:23:03","0.989813","1667","1","House Sparrow (female)"
"10168","2021-08-24","09:33:13","0.98766","1181","1","Ruby-throated Hummingbird"
"7514","2021-08-24","09:05:29","0.974623","786","1","House Wren"
"6935","2021-08-24","08:57:28","0.938278","642","1","House Sparrow (female)"
"37252","2021-09-01","10:03:27","0.939467","775","1","House Sparrow (female)"
"12487","2021-08-24","10:17:12","0.988046","1668","1","House Sparrow (female)"
"26888","2021-08-29","12:47:18","0.998864","320","1","Mourning Dove"
"12468","2021-08-24","10:17:03","0.97352","1663","1","Ruby-throated Hummingbird"
"29374","2021-08-29","14:40:02","0.954637","815","1","Mourning Dove"
"38053","2021-09-01","10:30:57","0.981804","930","1","White-breasted Nuthatch"
"27704","2021-08-29","13:18:03","0.978424","594","1","Ruby-throated Hummingbird"
"33493","2021-08-30","08:25:08","0.929764","358","1","House Sparrow (female)"
"30165","2021-08-29","15:05:52","0.989955","893","1","Brown-headed Cowbird (female or juvenile)"
"15723","2021-08-24","18:33:06","0.930779","612","1","House Sparrow (male)"
"12337","2021-08-24","10:10:00","0.962964","1557","1","House Finch (female)"
"16798","2021-08-25","18:11:23","0.993186","354","1","American Crow"
"6275","2021-08-24","08:51:16","0.93464","642","1","Ruby-throated Hummingbird"
"27840","2021-08-29","13:24:33","0.902011","625","1","Mourning Dove"
"36669","2021-09-01","09:10:41","0.986545","104","1","House Sparrow (female)"
"35223","2021-08-30","16:32:15","0.987109","218","1","House Sparrow (female)"
"10671","2021-08-24","09:41:10","0.903522","1248","1","House Sparrow (male)"
"33336","2021-08-30","08:22:25","0.907991","321","1","House Sparrow (female)"
"12000","2021-08-24","10:06:34","0.974492","1555","1","Dark-eyed Junco"
"16116","2021-08-25","17:20:17","0.949887","32","1","Mourning Dove"
"20294","2021-08-26","08:45:37","0.943134","595","1","Ruby-throated Hummingbird"
"37484","2021-09-01","10:07:10","0.992385","822","1","Mourning Dove"
"1972","2021-08-23","18:55:08","0.966703","732","1","House Sparrow (female)"
"29571","2021-08-29","14:54:12","0.915621","853","1","Mourning Dove"
"3702","2021-08-24","08:08:12","0.976592","4","1","House Sparrow (female)"
"7846","2021-08-24","09:08:19","0.935421","937","1","Ruby-throated Hummingbird"
"26174","2021-08-29","12:07:06","0.948915","119","1","White-breasted Nuthatch"
"24944","2021-08-28","18:21:16","0.960165","91","1","White-breasted Nuthatch"
"30985","2021-08-29","16:46:49","0.979596","1383","1","Mourning Dove"
"29007","2021-08-29","14:19:43","0.967176","793","1","Mourning Dove"
"23580","2021-08-26","10:20:56","0.916369","1695","1","House Sparrow (male)"
"14170","2021-08-24","11:14:44","0.996862","2147","1","Mourning Dove"
"10262","2021-08-24","09:34:27","0.919769","1181","1","House Wren"
"10542","2021-08-24","09:38:49","0.978872","1236","1","Ruby-throated Hummingbird"
"4593","2021-08-24","08:20:37","0.993735","129","1","House Sparrow (female)"
"7403","2021-08-24","09:04:22","0.934174","838","1","Ruby-throated Hummingbird"
"17187","2021-08-25","18:36:42","0.90012","410","1","White-breasted Nuthatch"
"35004","2021-08-30","16:28:04","0.970491","79","1","Mourning Dove"
"36285","2021-08-30","17:22:19","0.992028","592","1","Mourning Dove"
"14949","2021-08-24","17:59:44","0.925338","299","1","House Sparrow (female)"
"12898","2021-08-24","10:21:37","0.98718","1680","1","Mourning Dove"
"18682","2021-08-26","08:16:22","0.921688","285","1","House Sparrow (female)"
"26755","2021-08-29","12:22:09","0.921558","232","1","Mourning Dove"
"3393","2021-08-24","07:54:24","0.95871","280","1","House Sparrow (male)"
"29596","2021-08-29","14:54:31","0.99769","853","1","Mourning Dove"
"22095","2021-08-26","09:24:53","0.906656","1099","1","Dark-eyed Junco"
"38134","2021-09-01","10:31:38","0.913232","930","1","Mourning Dove"
"38271","2021-09-01","10:32:34","0.90631","931","1","White-breasted Nuthatch"
"6284","2021-08-24","08:51:19","0.910116","653","1","Mourning Dove"
"671","2021-08-23","18:18:33","0.996985","232","1","House Sparrow (female)"
"29648","2021-08-29","14:55:02","0.984271","853","1","Mourning Dove"
"33132","2021-08-30","08:19:31","0.983397","276","1","White-breasted Nuthatch"
"15793","2021-08-24","18:33:54","0.909284","669","1","Ruby-throated Hummingbird"
"5628","2021-08-24","08:33:10","0.931172","359","1","House Sparrow (male)"
"23431","2021-08-26","10:11:50","0.970953","1638","1","House Sparrow (female)"
"20194","2021-08-26","08:44:11","0.908099","595","1","White-breasted Nuthatch"
"28870","2021-08-29","14:07:08","0.956302","748","1","White-breasted Nuthatch"
"15620","2021-08-24","18:30:59","0.957824","616","1","House Sparrow (female)"
"13120","2021-08-24","10:24:04","0.992956","1667","1","Ruby-throated Hummingbird"
"32250","2021-08-29","18:49:00","0.937244","2071","1","White-breasted Nuthatch"
"25149","2021-08-28","18:23:44","0.913583","102","1","House Sparrow (female)"
"17678","2021-08-26","07:56:07","0.954781","111","1","Mourning Dove"
"7339","2021-08-24","09:03:56","0.968601","781","1","White-breasted Nuthatch"
"10151","2021-08-24","09:32:46","0.98244","1194","1","White-breasted Nuthatch"
"35915","2021-08-30","17:09:24","0.94765","468","1","Mourning Dove"
"19276","2021-08-26","08:25:34","0.951537","452","1","Eastern Bluebird"
"4616","2021-08-24","08:20:55","0.991463","163","1","Mourning Dove"
"16117","2021-08-25","17:20:18","0.965414","32","1","Ruby-throated Hummingbird"
"36826","2021-09-01","09:13:25","0.956845","162","1","House Sparrow (female)"
"17691","2021-08-26","07:56:22","0.930244","107","1","American Crow"
"5721","2021-08-24","08:34:36","0.995481","302","1","House Sparrow (female)"
"17538","2021-08-26","07:52:21","0.990979","3","1","Mourning Dove"
"30528","2021-08-29","16:21:14","0.947632","1184","1","American Crow"
"33612","2021-08-30","08:26:06","0.936719","358","1","House Sparrow (female)"
"288","2021-08-23","18:09:36","0.980993","117","1","Eastern Bluebird"
"16606","2021-08-25","18:00:24","0.973265","280","1","White-breasted Nuthatch"
"20809","2021-08-26","08:55:11","0.929718","595","1","House Sparrow (female)"
"21006","2021-08-26","08:59:32","0.911695","832","1","Ruby-throated Hummingbird"
"30103","2021-08-29","15:01:59","0.9594","881","1","Mourning Dove"
"9662","2021-08-24","09:28:44","0.985063","1181","1","House Sparrow (male)"
"11949","2021-08-24","10:05:50","0.95551","1500","1","House Sparrow (female)"
"15333","2021-08-24","18:19:54","0.925021","519","1","House Sparrow (female)"
"34582","2021-08-30","09:11:05","0.987485","823","1","House Sparrow (female)"
"7266","2021-08-24","09:03:06","0.927499","781","1","White-breasted Nuthatch"
"449","2021-08-23","18:13:54","0.939506","169","1","Ruby-throated Hummingbird"
"10932","2021-08-24","09:52:56","0.925598","1370","1","House Sparrow (female)"
"9900","2021-08-24","09:30:17","0.902897","1185","1","Ruby-throated Hummingbird"
"1502","2021-08-23","18:43:57","0.91416","568","1","Ruby-throated Hummingbird"
"24132","2021-08-26","10:41:40","0.960118","1922","1","House Sparrow (female)"
"7953","2021-08-24","09:09:24","0.974375","937","1","House Sparrow (male)"
"15476","2021-08-24","18:22:34","0.907937","518","1","House Sparrow (female)"
"3182","2021-08-24","07:52:21","0.938653","227","1","Ruby-throated Hummingbird"
"19942","2021-08-26","08:41:02","0.995907","595","1","House Sparrow (female)"
"26379","2021-08-29","12:15:34","0.943731","186","1","Red-winged Blackbird (male)"
"35081","2021-08-30","16:29:15","0.959104","116","1","House Sparrow (female)"
"10326","2021-08-24","09:35:00","0.997802","1185","1","Ruby-throated Hummingbird"
"8461","2021-08-24","09:14:56","0.966763","1017","1","House Sparrow (female)"
"32572","2021-08-30","07:37:36","0.985486","70","1","Mourning Dove"
"21437","2021-08-26","09:09:46","0.914251","1029","1","House Sparrow (male)"
"28437","2021-08-29","13:46:49","0.953729","701","1","American Crow"
"15445","2021-08-24","18:21:40","0.961762","518","1","House Sparrow (female)"
"34603","2021-08-30","09:11:15","0.984509","819","1","House Sparrow (female)"
"5334","2021-08-24","08:31:27","0.976785","302","1","House Sparrow (female)"
"24295","2021-08-26","11:04:09","0.927798","2127","1","Ruby-throated Hummingbird"
"5001","2021-08-24","08:27:03","0.907102","258","1","House Sparrow (female)"
"4393","2021-08-24","08:17:33","0.98521","87","1","House Sparrow (female)"
"37045","2021-09-01","10:00:21","0.954275","591","1","White-breasted Nuthatch"
"1640","2021-08-23","18:46:43","0.998996","615","1","Ruby-throated Hummingbird"
"13060","2021-08-24","10:23:05","0.946126","1667","1","Ruby-throated Hummingbird"
"21458","2021-08-26","09:10:22","0.95232","1099","1","House Sparrow (male)"
"33815","2021-08-30","08:38:08","0.902254","467","1","White-breasted Nuthatch"
"33449","2021-08-30","08:23:56","0.989632","339","1","House Sparrow (female)"
"34704","2021-08-30","09:12:51","0.980791","819","1","House Sparrow (female)"
"22999","2021-08-26","09:59:20","0.979572","1410","1","Dark-eyed Junco"
"16520","2021-08-25","17:54:48","0.963301","235","1","Mourning Dove"
"6212","2021-08-24","08:50:12","0.929116","633","1","House Sparrow (male)"
"34830","2021-08-30","16:20:37","0.978947","30","1","House Sparrow (female)"
"15105","2021-08-24","18:01:44","0.909225","345","1","Mourning Dove"
"9174","2021-08-24","09:21:22","0.928265","1013","1","Dark-eyed Junco"
"12230","2021-08-24","10:08:54","0.984082","1559","1","Ruby-throated Hummingbird"
"14473","2021-08-24","11:22:18","0.959965","2205","1","Ruby-throated Hummingbird"
"11482","2021-08-24","09:59:56","0.92156","1442","1","House Sparrow (male)"
"34251","2021-08-30","08:50:29","0.913901","641","1","Mourning Dove"
"35387","2021-08-30","16:34:26","0.939108","233","1","House Sparrow (female)"
"10990","2021-08-24","09:53:31","0.995106","1392","1","Mourning Dove"
"16939","2021-08-25","18:18:19","0.958003","360","1","House Sparrow (female)"
"36278","2021-08-30","17:22:13","0.942889","606","1","House Sparrow (female)"
"22274","2021-08-26","09:49:43","0.966251","1320","1","House Sparrow (female)"
"14666","2021-08-24","17:49:58","0.910117","198","1","Ruby-throated Hummingbird"
"36678","2021-09-01","09:10:51","0.93231","125","1","Mourning Dove"
"32982","2021-08-30","07:46:53","0.901309","126","1","House Sparrow (female)"
"20438","2021-08-26","08:47:34","0.968089","595","1","House Sparrow (male)"
"32968","2021-08-30","07:46:47","0.984495","126","1","Mourning Dove"
"7836","2021-08-24","09:08:12","0.97795","872","1","Ruby-throated Hummingbird"
"29391","2021-08-29","14:40:15","0.910673","815","1","Mourning Dove"
"20765","2021-08-26","08:54:01","0.99144","595","1","Mourning Dove"
"29135","2021-08-29","14:37:29","0.91149","815","1","House Sparrow (female)"
"37747","2021-09-01","10:15:30","0.942206","822","1","Cardinal-Female"
"3467","2021-08-24","08:04:35","0.999377","1","1","House Sparrow (male)"
"13917","2021-08-24","10:35:31","0.956287","1958","1","Ruby-throated Hummingbird"
"5005","2021-08-24","08:27:05","0.984079","195","1","Mourning Dove"
"28040","2021-08-29","13:26:45","0.997243","626","1","Mourning Dove"
"7275","2021-08-24","09:03:12","0.947151","835","1","Ruby-throated Hummingbird"
"575","2021-08-23","18:16:50","0.931229","221","1","House Sparrow (female)"
"27436","2021-08-29","13:11:23","0.996887","522","1","House Sparrow (female)"
"29961","2021-08-29","15:00:49","0.982118","881","1","Mourning Dove"
"361","2021-08-23","18:11:05","0.953934","110","1","Mourning Dove"
"34343","2021-08-30","09:05:30","0.988913","795","1","Mourning Dove"
"33579","2021-08-30","08:25:45","0.98685","363","1","Mourning Dove"
"24417","2021-08-26","12:04:01","0.963343","2793","1","Ruby-throated Hummingbird"
"17581","2021-08-26","07:53:31","0.998448","98","1","Mourning Dove"
"8066","2021-08-24","09:10:22","0.943143","914","1","Ruby-throated Hummingbird"
"2659","2021-08-24","07:46:02","0.998349","108","1","House Sparrow (female)"
"30472","2021-08-29","16:19:04","0.996077","1130","1","Mourning Dove"
"7931","2021-08-24","09:09:13","0.983798","781","1","House Sparrow (female)"
"12474","2021-08-24","10:17:07","0.984089","1663","1","House Sparrow (male)"
"21822","2021-08-26","09:18:55","0.955017","1099","1","House Sparrow (male)"
"4412","2021-08-24","08:17:43","0.91101","127","1","House Sparrow (female)"
"27037","2021-08-29","13:01:06","0.935116","467","1","Mourning Dove"
"25490","2021-08-28","18:30:17","0.98661","135","1","White-breasted Nuthatch"
"30691","2021-08-29","16:23:50","0.921703","1193","1","House Wren"
"4746","2021-08-24","08:24:09","0.972114","195","1","White-breasted Nuthatch"
"19162","2021-08-26","08:23:48","0.995063","381","1","Eastern Bluebird"
"12172","2021-08-24","10:08:16","0.962452","1576","1","Ruby-throated Hummingbird"
"15939","2021-08-24","18:35:58","0.914771","689","1","Mourning Dove"
"26292","2021-08-29","12:08:47","0.974029","123","1","Brown-headed Cowbird (female or juvenile)"
"32719","2021-08-30","07:39:13","0.980711","86","1","White-breasted Nuthatch"
"10809","2021-08-24","09:51:14","0.997639","1347","1","Mourning Dove"
"32607","2021-08-30","07:37:53","0.998155","82","1","Mourning Dove"
"20987","2021-08-26","08:59:12","0.985407","872","1","Mourning Dove"
"3576","2021-08-24","08:07:00","0.981713","4","1","House Wren"
"30883","2021-08-29","16:44:53","0.957267","1330","1","House Sparrow (female)"
"10479","2021-08-24","09:37:23","0.924695","1236","1","Mourning Dove"
"34366","2021-08-30","09:05:41","0.902611","796","1","Mourning Dove"
"22876","2021-08-26","09:57:20","0.913655","1410","1","Dark-eyed Junco"
"27495","2021-08-29","13:12:06","0.978257","524","1","Eastern Bluebird"
"19549","2021-08-26","08:35:16","0.93578","547","1","House Sparrow (female)"
"1517","2021-08-23","18:44:10","0.914252","569","1","Mourning Dove"
"6308","2021-08-24","08:51:32","0.996301","647","1","Mourning Dove"
"17245","2021-08-25","19:05:24","0.996445","21","1","House Sparrow (female)"
"6556","2021-08-24","08:53:59","0.994143","642","1","Mourning Dove"
"9056","2021-08-24","09:19:55","0.929209","1082","1","Song Sparrow"
"16323","2021-08-25","17:34:57","0.948766","27","1","Mourning Dove"
"23694","2021-08-26","10:22:49","0.937219","1704","1","Mourning Dove"
"5276","2021-08-24","08:30:54","0.991409","338","1","House Sparrow (female)"
"26810","2021-08-29","12:23:38","0.928669","260","1","Mourning Dove"
"37286","2021-09-01","10:03:58","0.964411","764","1","Mourning Dove"
"25419","2021-08-28","18:28:58","0.916552","136","1","House Sparrow (female)"
"9672","2021-08-24","09:28:49","0.998333","1181","1","Mourning Dove"
"21448","2021-08-26","09:10:14","0.925339","1029","1","Eastern Bluebird"
"26016","2021-08-29","11:43:41","0.989606","55","1","Carolina Chickadee"
"26505","2021-08-29","12:18:23","0.989611","194","1","House Sparrow (female)"
"1436","2021-08-23","18:42:19","0.98321","578","1","Mourning Dove"
"17926","2021-08-26","07:59:17","0.915818","111","1","House Sparrow (female)"
"32389","2021-08-30","07:35:38","0.958906","64","1","House Sparrow (female)"
"20860","2021-08-26","08:56:28","0.928175","832","1","Ruby-throated Hummingbird"
"22956","2021-08-26","09:58:51","0.967199","1410","1","Ruby-throated Hummingbird"
"13251","2021-08-24","10:25:53","0.987033","1667","1","Ruby-throated Hummingbird"
"3570","2021-08-24","08:06:58","0.996602","4","1","House Sparrow (female)"
"22936","2021-08-26","09:58:42","0.971288","1410","1","House Sparrow (female)"
"10820","2021-08-24","09:51:20","0.964887","1347","1","American Crow"
"2591","2021-08-24","07:45:13","0.995427","92","1","Ruby-throated Hummingbird"
"14104","2021-08-24","11:13:07","0.991113","2134","1","Dark-eyed Junco"
"14120","2021-08-24","11:13:27","0.944518","2110","1","White-breasted Nuthatch"
"9399","2021-08-24","09:25:33","0.945987","1177","1","House Sparrow (female)"
"30540","2021-08-29","16:21:25","0.958166","1184","1","House Sparrow (female)"
"7129","2021-08-24","09:00:24","0.920442","786","1","Song Sparrow"
"10004","2021-08-24","09:30:57","0.995543","1181","1","Ruby-throated Hummingbird"
"22058","2021-08-26","09:23:57","0.907184","1099","1","House Sparrow (male)"
"27142","2021-08-29","13:08:07","0.996348","521","1","Mourning Dove"
"34721","2021-08-30","09:39:59","0.946169","1155","1","Mourning Dove"
"12670","2021-08-24","10:19:31","0.966377","1661","1","Mourning Dove"
"6980","2021-08-24","08:58:17","0.957872","719","1","House Sparrow (female)"
"3828","2021-08-24","08:09:44","0.986186","13","1","House Sparrow (male)"
"1879","2021-08-23","18:52:24","0.985835","670","1","Mourning Dove"
"23835","2021-08-26","10:27:51","0.98737","1828","1","Mourning Dove"
"10705","2021-08-24","09:41:50","0.91491","1248","1","House Sparrow (female)"
"4303","2021-08-24","08:16:50","0.96729","37","1","House Sparrow (female)"
"22358","2021-08-26","09:50:43","0.980289","1298","1","Mourning Dove"
"21431","2021-08-26","09:09:38","0.964322","1075","1","House Sparrow (female)"
"22461","2021-08-26","09:52:18","0.960792","1408","1","Eastern Bluebird"
"35077","2021-08-30","16:29:13","0.92681","142","1","Mourning Dove"
"5528","2021-08-24","08:32:36","0.951495","348","1","White-breasted Nuthatch"
"787","2021-08-23","18:20:18","0.993066","247","1","Dark-eyed Junco"
"2764","2021-08-24","07:47:12","0.908911","176","1","Ruby-throated Hummingbird"
"27040","2021-08-29","13:01:08","0.998487","463","1","Mourning Dove"
"28884","2021-08-29","14:07:44","0.933071","748","1","Carolina Chickadee"
